"gen","locus1","locus2","locus3","repl"
0,232,216,199,1
10,118,112,85,1
20,159,164,143,1
30,83,82,89,1
40,146,127,124,1
50,86,77,72,1
60,137,162,144,1
0,178,221,210,2
10,121,110,108,2
20,63,76,71,2
30,89,88,85,2
40,113,107,102,2
50,91,95,77,2
60,105,100,101,2
0,276,275,264,3
10,70,85,84,3
20,151,157,139,3
30,85,65,69,3
40,163,169,162,3
50,101,105,96,3
60,95,96,79,3
0,191,209,195,4
10,118,130,116,4
20,123,124,128,4
30,85,73,63,4
40,105,105,91,4
50,99,120,94,4
60,78,86,71,4
0,321,369,358,5
10,148,160,132,5
20,154,149,125,5
30,57,52,42,5
40,133,96,108,5
50,105,114,129,5
60,103,103,105,5
0,231,223,208,6
10,112,123,104,6
20,192,178,208,6
30,55,68,48,6
40,87,86,77,6
50,113,102,88,6
60,101,93,82,6
0,195,225,227,7
10,153,113,144,7
20,137,131,134,7
30,113,126,114,7
40,109,121,100,7
50,83,101,98,7
60,137,110,143,7
0,193,186,211,8
10,119,111,98,8
20,131,119,125,8
30,232,225,198,8
40,107,80,94,8
50,101,127,115,8
60,99,105,129,8
0,331,298,311,9
10,134,161,148,9
20,76,85,85,9
30,183,164,177,9
40,63,70,65,9
50,186,191,152,9
60,146,144,127,9
0,182,203,182,10
10,135,132,155,10
20,38,30,34,10
30,215,206,204,10
40,130,137,137,10
50,146,130,137,10
60,137,145,143,10
